,input,output
42,봄의 첫 만남에 주기 좋은 꽃은 무엇이 있을까요?,"['개나리', '겹 수선화', '겹복숭아 꽃', '겹설유화', '공작초', '깽깽이풀', '꽃 아로니아', '꽃 영춘화', '꽃아그배나무꽃', '꽃아까시나무꽃', '남산제비꽃', '눈개쑥부쟁이', '동백나무꽃', '마취목', '메꽃', '명자꽃', '모과꽃', '목련', '물망초', '미가목', '미니 방울 수선화', '바람꽃', '백양꽃', '벚나무꽃', '베로니카', '빨간아네모네', '빨강동백', '사과나무꽃', '산당화', '산수유', '산자고', '상사화', '샤프란', '석류꽃', '설유화', '솜나물꽃', '스노우드롭', '애기동백', '양지꽃', '에리카', '원추리', '유채', '은방울 수선화', '이응매', '일반 수선화', '잉글리쉬데이지', '제비꽃', '조팝나무꽃', '참취', '처녀치마', '천일홍', '철쭉', '칸나', '코스모스', '크로커스', '투구꽃', '팬지', '페튜니아', '프렌치매리골드', '프리뮬러', '피나물꽃', '협죽도', '흰색동백', '히야신스', '히어리']"
43,사랑을 전할 꽃 추천해줘. 요즘 봄이야.,"['개나리', '겹 수선화', '겹복숭아 꽃', '겹설유화', '공작초', '깽깽이풀', '꽃 아로니아', '꽃 영춘화', '꽃아그배나무꽃', '꽃아까시나무꽃', '남산제비꽃', '눈개쑥부쟁이', '동백나무꽃', '마취목', '메꽃', '명자꽃', '모과꽃', '목련', '물망초', '미가목', '미니 방울 수선화', '바람꽃', '백양꽃', '벚나무꽃', '베로니카', '빨간아네모네', '빨강동백', '사과나무꽃', '산당화', '산수유', '산자고', '상사화', '샤프란', '석류꽃', '설유화', '솜나물꽃', '스노우드롭', '애기동백', '양지꽃', '에리카', '원추리', '유채', '은방울 수선화', '이응매', '일반 수선화', '잉글리쉬데이지', '제비꽃', '조팝나무꽃', '참취', '처녀치마', '천일홍', '철쭉', '칸나', '코스모스', '크로커스', '투구꽃', '팬지', '페튜니아', '프렌치매리골드', '프리뮬러', '피나물꽃', '협죽도', '흰색동백', '히야신스', '히어리']"
44,여름에 프로포즈할 때 어울리는 꽃을 추천해줘,"['겹 캄파눌라', '글록시니아', '금강초롱', '꽃양귀비', '나팔꽃', '능소화', '다알리아', '닭의장풀', '델피니움', '동백나무꽃', '땅채송화', '루드베키아', '루피너스', '마타리', '만병초', '말발도리', '메꽃', '물봉선', '미가목', '미나리', '바람꽃', '백합(나리)', '버베나', '베로니카', '복수초', '복주머니란(개불알꽃)', '부용', '부용(히비스커스)', '분꽃', '빨강동백', '산수국', '살비아', '석류꽃', '설악초', '세일러문 해바라기', '솜나물꽃', '술패랭이', '스노우볼', '썸머라일락', '썸머로사 장미', '아프리칸매리골드', '얼레지', '엘라티오르베고니아', '열매 클레마티스', '온시디움', '용머리', '일레오스 장미', '종꽃', '참나리', '참취', '천일홍', '칸나', '칼라', '캄파눌라', '큰금계국', '토레니아', '토마토', '투구꽃', '페튜니아', '프렌치매리골드', '하와이무궁화', '해국', '해오라비난초', '헬리옵시스', '현호색', '흰색동백']"
45,"친구 생일이야, 어떤 꽃을 줄까? 특히 빨강 꽃을 좋아해.","['검은포플라', '겹복숭아 꽃', '겹헬레보러스', '구즈마니아', '귀고리꽃', '글로리오사', '글록시니아', '꽃동백', '꽃무릇(석산)', '꽃양귀비', '노루발풀', '뉴페이스 장미', '다마스커스 카네이션', '다미나 카네이션', '다크익스프레션 장미', '돈셀 카네이션', '돈페드로 카네이션', '돌세토 장미', '동백나무꽃', '동자꽃', '드라큘라 카네이션', '딥실버 장미', '땅나리', '라넌큘러스', '라일락', '레게핑크 카네이션', '레너드 카네이션', '레드팬써 장미', '로마니 카네이션', '리나 카네이션', '마리포사 카네이션', '마이네리브 장미', '매발톱꽃', '매직타임즈 장미', '맨드라미', '맨스필드핑크파크 장미', '명자꽃', '모카스위트 카네이션', '몬토야 카네이션', '미뉴에토 카네이션', '미니 거베라', '바이올렛 힐 장미', '바이퍼와인', '바카랏 카네이션', '버나드 카네이션', '버베나', '베로나 장미', '베로나 카네이션', '벳시 카네이션', '보라색라일락', '보산스카 카네이션', '블랙뷰티 장미', '블루즈 장미', '비젯 카네이션', '빨간국화', '빨간아네모네', '빨간앵초', '빨강동백', '빨강매발톱꽃', '빨강양귀비', '빨강제라늄', '사가 장미', '사이다 장미', '산당화', '살비아', '색비름', '샤또 카네이션', '석류꽃', '스윗유니크 장미', '스칼렛플러스 카네이션', '스탠다드 카네이션', '스파이더 거베라', '스펙트로 카네이션', '스프레이 카네이션', '심비디움', '아네모네', '아란다', '아마릴리스', '아스틸베', '아시아틱 백합', '안스륨', '알스트로메리아', '애기동백', '양귀비', '엘라티오르베고니아', '여주 카라', '왁스플라워', '인챈트먼트 장미', '일반 리시안셔스', '장미', '제니스타', '제니트 카네이션', '쥬리고 카네이션', '채송화', '치어플 장미', '카네이션', '칸나', '칼라', '콜레우스', '튤립', '트윙클브라이드 장미', '파스타 거베라', '파스티니 거베라', '팔로마 장미', '패모', '페뷸러스 카네이션', '포인세티아', '폼폰 라넌큘러스', '푸에고 장미', '프리덤 장미', '프리뮬러', '프린지 튤립', '피에트 카네이션', '하늘나리', '한련', '한련화', '헤르메스오렌지 카네이션', '호랑이꽃', '후크시아']"
46,10월 출산을 축하할 때 선물할 꽃은 어떤 게 좋을까요?,"['감국', '거베라', '겹 스토크', '괭이밥(옥살리스)', '구절초', '금잔화', '꽃아그배나무꽃', '네리네', '들장미', '디스버드 국화', '로벨리아', '멜론꽃', '모과꽃', '무궁화', '박하', '벗풀', '부처꽃', '블루베리 장미', '빨간국화', '빨강봉선화', '사과나무꽃', '산딸나무꽃', '산사나무꽃', '살구꽃', '샤프란', '석류꽃', '수크령', '시클라멘', '아네모네', '오미자', '율두스 장미', '이끼장미', '일일초', '참취', '천일홍', '층꽃나무꽃', '카라', '카렌듈라', '콜레우스', '해국', '해당화', '흰독말풀', '흰색국화']"
47,고백할 때 줄 꽃 추천해줘. 요즘 여름이야.,"['겹 캄파눌라', '글록시니아', '금강초롱', '꽃양귀비', '나팔꽃', '능소화', '다알리아', '닭의장풀', '델피니움', '동백나무꽃', '땅채송화', '루드베키아', '루피너스', '마타리', '만병초', '말발도리', '메꽃', '물봉선', '미가목', '미나리', '바람꽃', '백합(나리)', '버베나', '베로니카', '복수초', '복주머니란(개불알꽃)', '부용', '부용(히비스커스)', '분꽃', '빨강동백', '산수국', '살비아', '석류꽃', '설악초', '세일러문 해바라기', '솜나물꽃', '술패랭이', '스노우볼', '썸머라일락', '썸머로사 장미', '아프리칸매리골드', '얼레지', '엘라티오르베고니아', '열매 클레마티스', '온시디움', '용머리', '일레오스 장미', '종꽃', '참나리', '참취', '천일홍', '칸나', '칼라', '캄파눌라', '큰금계국', '토레니아', '토마토', '투구꽃', '페튜니아', '프렌치매리골드', '하와이무궁화', '해국', '해오라비난초', '헬리옵시스', '현호색', '흰색동백']"
48,자녀 졸업식에 어떤 꽃을 줘야 할까? 특히 하양 꽃을 좋아해.,"['각시붓꽃', '감국', '개나리', '갯개미취', '거베라', '검은포플라', '겹 공작초', '겹 과꽃', '겹 소국', '겹 수선화', '겹 스토크', '겹 알스트로메리아', '겹 캄파눌라', '겹 프릴 리시안셔스', '겹 해바라기', '겹벗꽃', '겹복숭아 꽃', '겹설유화', '겹튤립', '겹헬레보러스', '계란 소국', '골담초', '골드트렌드셋터 장미', '골드핀치 장미', '골든게이트 카네이션', '골든로드', '골든볼', '골디 카네이션', '골렘 카네이션', '공작초', '과꽃', '괭이눈', '괭이밥', '괭이밥(옥살리스)', '구절초', '구즈마니아', '국화', '군자란', '굿무드 장미', '귀고리꽃', '그린벨', '글라디올러스', '글로리오사', '글록시니아', '금강초롱', '금낭화', '금수 소국', '금어초', '금작화', '금잔화', '까실쑥부쟁이', '깽깽이풀', '꼬리조팝나무꽃', '꽃 아로니아', '꽃 영춘화', '꽃고비', '꽃담배', '꽃동백', '꽃무릇(석산)', '꽃베고니아', '꽃아그배나무꽃', '꽃아까시나무꽃', '꽃아카시아나무꽃', '꽃양귀비', '꽃창포', '꽃향유', '꽈리', '나도풍란', '나무딸기꽃', '나팔 백합', '나팔꽃', '나팔수선화', '남산제비꽃', '남천', '납매', '냉이', '네리네', '네모필라', '노나 장미', '노단새', '노랑 히야신', '노랑무늬붓꽃', '노랑붓꽃', '노랑수선화', '노랑어리연꽃', '노랑장미', '노랑제비꽃', '노랑튤립', '노루귀', '노루발풀', '노루오줌', '노비아 카네이션', '논냉이', '눈개쑥부쟁이', '뉴페이스 장미', '능소화', '니겔라', '니콜 카네이션', '다마스커스 카네이션', '다미나 카네이션', '다알리아', '다이아몬드 소국', '다크익스프레션 장미', '달맞이꽃', '닭의장풀', '당근꽃', '당아욱', '더블라떼 마트리카리아', '데스티니 장미', '데이지', '덴드로비움', '덴파레', '델피니 장미', '델피니움', '도라지', '돈셀 카네이션', '돈페드로 카네이션', '돌단풍', '돌세토 장미', '동백나무꽃', '동의나물꽃', '동자꽃', '둥근잎꿩의비름', '드라이 라벤더', '드라큘라 카네이션', '들장미', '디그니티 장미', '디기탈리스', '디노 카네이션', '디디스커스', '디스버드 국화', '딜레타 카네이션', '딥실버 장미', '딥퍼플 장미', '땅나리', '땅채송화', '라넌큘러스', '라벤더', '라이스플라워', '라일락', '라일락멜리사 카네이션', '라티나 장미', '락스 소국', '람브레타 카네이션', '러블리 살몬 소국', '러블리리디아 장미', '레게핑크 카네이션', '레너드 카네이션', '레드팬써 장미', '레이스플라워', '레이첼 장미', '레제다오도라', '로다스 카네이션', '로라 카네이션', '로마니 카네이션', '로미오 장미', '로벨리아', '로사넬라 장미', '로사캠피온', '로얄파크 장미', '로즈마리', '로지타 벤델라 장미', '루드베키아', '루치아노 장미', '루피너스', '류코코리네', '리나 카네이션', '리모늄 미스티블루', '마가렛', '마거리트', '마리포사 카네이션', '마삭줄', '마이네리브 장미', '마취목', '마타리', '마트리카리아 써니볼', '만달라 장미', '만병초', '말리부 장미', '말발도리', '맘보 장미', '매발톱꽃', '매쉬매리골드', '매직타임즈 장미', '매화', '맥문동', '맨드라미', '맨스필드파크 장미', '맨스필드핑크파크 장미', '메꽃', '메리골드', '멕사칸아이비', '멜론꽃', '멜리사', '명자꽃', '모과꽃', '모란', '모멘텀 장미', '모카라', '모카스위트 카네이션', '목련', '목화', '몬디알 장미', '몬토야 카네이션', '몰약의꽃', '무궁화', '무릇', '무비스타 장미', '무스카리', '문골렘 카네이션', '문라이트 카네이션', '문스톤 장미', '물망초', '물봉선', '미가목', '미나리', '미나리아재비', '미뉴에토 카네이션', '미니 거베라', '미니 글라디올러스', '미니 루드베키아', '미니 방울 수선화', '미니 심비디움', '미니 알리움', '미니 알스트로메리아', '미니바카랏 카네이션', '미모사', '미모사 아카시아', '민들레', '밀레니얼핑크 장미', '밀짚꽃', '바람꽃', '바이올렛 힐 장미', '바이퍼와인', '바카랏 카네이션', '박하', '반다', '방울 스카비오사', '배나무꽃', '배롱나무꽃', '백량금', '백리향', '백양꽃', '백일홍', '백합(나리)', '백합나무(튤립나무)꽃', '뱀무', '버나드 카네이션', '버드푸드', '버마니아 카네이션', '버베나', '버터플라이 라넌큘러스', '범의귀', '벗풀', '벚꽃', '벚꽃난', '벚나무꽃', '베로나 장미', '베로나 카네이션', '베로니카', '벳시 카네이션', '별 클레마티스', '별꽃', '별튤립', '보라색라일락', '보랏빛제비꽃', '보산스카 카네이션', '보헤메 카네이션', '복수초', '복숭아꽃', '복주머니란(개불알꽃)', '볼레로 카네이션', '봉선화', '부겐빌리아', '부레옥잠', '부르트 장미', '부바르디아', '부용', '부용(히비스커스)', '부처꽃', '분꽃', '불두화', '붓꽃', '뷰글라스', '브라이튼 장미', '브루트 카네이션', '브리오니아', '블랙뷰티 장미', '블루베리 장미', '블루즈 장미', '블루코페르니코 카네이션', '비단향꽃나무꽃', '비모란선인장', '비스위트 장미', '비젯 카네이션', '비하이브 장미', '빅토리오라벤더', '빙카', '빨간국화', '빨간아네모네', '빨간앵초', '빨강동백', '빨강매발톱꽃', '빨강봉선화', '빨강양귀비', '빨강제라늄', '뻐꾹나리', '뻐꾹채', '사가 장미', '사과꽃', '사과나무꽃', '사막장미', '사스레피나무꽃', '사이다 장미', '사향장미', '산국', '산당화', '산딸나무꽃', '산마늘꽃', '산부추꽃', '산사나무꽃', '산수국', '산수유', '산옥잠화', '산자고', '산호수', '살구꽃', '살비아', '삼색제비꽃', '상사화', '색비름', '샌더소니아', '샐마 장미', '샤또 카네이션', '샤만트 장미', '샤프란', '서양모과꽃', '서양톱풀', '서향', '석류꽃', '설악초', '설앵초', '설유화', '섬말나리', '세이지', '세일러문 해바라기', '센토레아(수레국화)', '소머셋 장미', '솜나물꽃', '솜다리', '솜방망이', '수국', '수레국화', '수련', '수박풀', '수선화', '수세미', '수염패랭이꽃', '수영', '수크령', '술패랭이', '쉬라즈 장미', '쉼머 장미', '슈미트티아나', '슈베르트 알리움', '슈퍼센세이션 장미', '스노드롭', '스노우드롭', '스노우볼', '스노우플레이크', '스노우플레이크 장미', '스위트니스 장미', '스위트피', '스윗유니크 장미', '스윗핑크 장미', '스카비오사', '스칼렛플러스 카네이션', '스타 체리테시노 카네이션', '스타티스', '스타플래티넘 장미', '스탠다드 카네이션', '스털링센세이션 장미', '스토크', '스파이더 거베라', '스펙트로 카네이션', '스프레이 델피늄', '스프레이 카네이션', '시계꽃', '시넨시스', '시레네', '시크보이 장미', '시클라멘', '실바써니 장미', '실바핑크 장미', '심비디움', '싸리', '써니 코마치 카네이션', '썸머라일락', '썸머로사 장미', '쑥국화', '쑥부쟁이', '씀바귀', '아가판서스', '아게라텀', '아네모네', '아도니스', '아라비아의별', '아란다', '아리아나 장미', '아마', '아마릴리스', '아몬드', '아스클레피아스', '아스트란시아', '아스틸베', '아스포델', '아시아틱 백합', '아이리스', '아이비제라늄', '아잘레아', '아프리칸 바이올렛', '아프리칸매리골드', '안개 소국', '안개꽃', '안개초', '안스륨', '안스리움', '알리바바 카네이션', '알리섬', '알리움', '알보라다 카네이션', '알스트로메리아', '알테어 카네이션', '애기금어초', '애기나리', '애기동백', '애플티 카네이션', '앱솔루트인핑크 장미', '앵초', '야생화', '양귀비', '양지꽃', '어저귀', '얼레지', '엉겅퀴', '에그타르트 장미', '에리카', '에린지움', '에코 카네이션', '엘라티오르베고니아', '엘리카', '엘바 장미', '엠마 카네이션', '여주 카라', '연령초', '열매 클레마티스', '염색 수국', '염색 카네이션', '염색 튤립', '옐로우캡 소국', '오니소갈룸', '오렌지크러쉬 장미', '오리엔탈 겹 백합', '오리엔탈 백합', '오리온 카네이션', '오미자', '오하라 장미', '옥시페탈룸', '옥잠화', '온시디움', '올라야', '올리비노 카네이션', '올포러브 장미', '왁스플라워', '왕갯쑥부쟁이', '용담', '용머리', '우묵사스레피', '우엉꽃', '원달러 카네이션', '원추리', '월귤', '웨스트민스터 애비 장미', '유채', '유카리바이올렛 카네이션', '유카리체리 카네이션', '율두스 장미', '으름', '은매화', '은방울 수선화', '은방울꽃', '이끼장미', '이벳 장미', '이응매', '익시아', '인게이지먼트 장미', '인챈트먼트 장미', '일레오스 장미', '일반 리시안셔스', '일반 수선화', '일세 장미', '일일초', '잉글리쉬데이지', '자